Número Procedimiento,Nro SAF,Descripcion SAF,Nro UOC,Descripcion UOC,Tipo de Procedimiento,Modalidad,Apartado Directa,Ejercicio,Fecha de Publicación,Fecha de Apertura,Etapa,Alcance,Nombre del Procedimiento,Objeto del Procedimiento,Monto Estimado,Tipo de Operación
38/3-1162-LPR20,379.0,379 - Estado Mayor General de la Armada,38.0,38/03 - UOC de la Intendencia Naval Puerto Belgrano - Armada Argentina,Licitacion Privada,Sin Modalidad,,2020.0,05/10/2020 08:00:00 a.m.,16/10/2020 10:00:00 a.m.,Única,Nacional,SERVICIO DE INSTALACION DE ALAMBRADO PERIMETRAL,SERVICIO DE INSTALACION DE ALAMBRADO PERIMETRAL PARA EL PREDIO DE LOS DEPOSITOS DE REZAGOS Y LUBRICANTES / MATERIAS GRASAS DE LA INTENDENCIA NAVAL PUERTO BELGRANO,3620625.0,Proceso de Compra
47-0125-CDI20,607.0,607 - Instituto Nacional de Investigación y Desarrollo Pesquero,47.0,47 - Dpto. de Compras y Servicios- INIDEP,Contratación Directa,Sin Modalidad,Apartado 3: Adjudicación Simple por Exclusividad,2020.0,05/10/2020 05:00:00 p.m.,16/10/2020 10:00:00 a.m.,Única,Internacional,Adquisición de equipamiento científico para el Buque de Investigación Pesquera MAR ARGENTINO,Adquisición de equipamiento científico para el Buque de Investigación Pesquera MAR ARGENTINO,29727000.0,Proceso de Compra
15-0034-CDI20,106.0,106 - Comisión Nacional de Actividades Espaciales,15.0,15 - Unidad de Abastecimiento - CONAE,Contratación Directa,Sin Modalidad,Apartado 3: Adjudicación Simple por Exclusividad,2020.0,05/10/2020 11:00:00 a.m.,09/10/2020 11:00:00 a.m.,Única,Nacional,Reparación de amplificador de potencia doble banda marca AR Microwaves.,Reparación de amplificador de potencia doble banda marca AR Microwaves.,467907.0,Proceso de Compra
47-0126-CDI20,607.0,607 - Instituto Nacional de Investigación y Desarrollo Pesquero,47.0,47 - Dpto. de Compras y Servicios- INIDEP,Contratación Directa,Sin Modalidad,Apartado 3: Adjudicación Simple por Exclusividad,2020.0,05/10/2020 05:00:00 p.m.,23/10/2020 11:00:00 a.m.,Única,Internacional,Adquisición de repuestos SCANMAR para sistema de monitoreo de redes de pesca,Adquisición de repuestos SCANMAR para sistema de monitoreo de redes de pesca,1534000.0,Proceso de Compra
38-0304-CDI20,379.0,379 - Estado Mayor General de la Armada,38.0,38/00 - Servicio Administrativo Financiero de la Armada,Contratación Directa,Sin Modalidad,Apartado 8: Adjudicación Simple Interadministrativa,2020.0,05/10/2020 03:00:00 p.m.,07/10/2020 10:00:00 a.m.,Única,Nacional,CONSTRUCCIÓN HELICES  PORTA HÉLICES Y SISTEMAS ASOCIADOS LICA,Efectuar los trabajos de reparación y mantenimiento de sistemas y subsistemas de las LANCHAS DE INSTRUCCIÓN PARA CADETES de la Escuela Naval Militar.,22838400.0,Proceso de Compra
64-0039-CDI20,852.0,852 - Superintendencia de Riesgos del Trabajo,64.0,64/000 - Departamento de Compras y Contrataciones- SRT,Contratación Directa,Sin Modalidad,Apartado 11: Adjudicación Simple por Locación de Inmuebles,2020.0,05/10/2020 12:00:00 a.m.,23/10/2020 11:00:00 a.m.,Única,Nacional,Locación del inmueble ubicado en la calle 25 de Mayo N° 1935  de la localidad de San Martín  Bs. As.,Locación del inmueble ubicado en la calle 25 de Mayo N° 1935  de la localidad de San Martín  provincia de Buenos Aires con destino a ser sede de la Delegación de Comisión Médica de dicha localidad.,8700000.0,Proceso de Compra
38/12-0223-LPU20,379.0,379 - Estado Mayor General de la Armada,38.0,38/12 - Comando de la Flota de Mar,Licitacion Pública,Orden de compra abierta,,2020.0,05/10/2020 03:00:00 p.m.,16/10/2020 09:00:00 a.m.,Única,Nacional,ADQUISICIÓN DE MOTOBOMBAS TIPO P-100 PARA SER PROVISTAS A UNIDADES DEL COMANDO DE LA FLOTA DE MAR,ADQUISICIÓN DE MOTOBOMBAS TIPO P-100 PARA SER PROVISTAS A UNIDADES DEL COMANDO DE LA FLOTA DE MAR,19845000.0,Proceso de Compra
46/13-0915-CDI20,604.0,604 - Dirección Nacional de Vialidad,46.0,46/13 - 13° Chubut - DNV,Contratación Directa,Sin Modalidad,Apartado 8: Adjudicación Simple Interadministrativa,2020.0,05/10/2020 07:00:00 a.m.,06/10/2020 11:00:00 a.m.,Única,Nacional,Convenio Interadministrativo con Municipalidad de Rio Mayo.,Servicio de ejecución de tareas de conservación y mantenimiento sobre Ruta Nacional N°40 y N°260S   Río Mayo.,3840000.0,Proceso de Compra
38-0306-CDI20,379.0,379 - Estado Mayor General de la Armada,38.0,38/00 - Servicio Administrativo Financiero de la Armada,Contratación Directa,Sin Modalidad,Apartado 8: Adjudicación Simple Interadministrativa,2020.0,05/10/2020 03:00:00 p.m.,07/10/2020 10:00:00 a.m.,Única,Nacional,TRABAJOS DE MODERNIZACION Y ACTUALIZACIONES DE SISTEMAS RHAI,Efectuar los trabajos de modernización y actualización de sistemas y subsistemas  del Rompehielos A.R.A. “ALMIRANTE IRIZAR  a flote en la Dársena Norte de C.A.B.A,33378766.0,Proceso de Compra
101-0012-CDI20,622.0,622 - Instituto Nacional de la Propiedad Industrial,101.0,101 - Departamento de Compras y Contrataciones,Contratación Directa,Sin Modalidad,,2020.0,05/10/2020 03:00:00 p.m.,09/10/2020 03:00:00 p.m.,Única,Nacional,Contratación por emergencia COVID-19 Nº 2/2020 – Adquisición de storage,Contratación por emergencia COVID-19 Nº 2/2020 – Adquisición de storage,930000.0,Proceso de Compra
